idx,date,stars,review_text,vader_score,sentiment_bucket,sentiment_label,kitchen_pros,kitchen_cons,service_pros,service_cons,mgmt_pros,mgmt_cons
2,2024-08-27 22:20:23,5,Unser Stamm-BurgerKing ;-),0.25,Positive,Positiv,"Penetrantenfreundliche Atmosphäre, wie ausgedrückt durch den Ausdruck ';-)'', was auf eine positive Gästeerfahrung hinweisen könnte",,Penibel und freundlich,,"Positive Atmosphäre angezeigt durch Ausdruck des Kunden (';-)'), was auf ein angenehmes Ambiente hinweist.","Nicht besprochen, da keine Informationen über Preis/Leistung, Sauberkeit oder Vergleich mit Konkurrenz gegeben sind."
9,2024-08-18 16:10:56,5,Sehr freundliche Mitarbeiter und Bedienung in einem sehr netten Ton!,0.0,Neutral,Positiv,,,Freundlichkeit der Mitarbeiter im netten Ton,,Freundliche Mitarbeiter mit positivem Auftreten,
10,2024-08-17 18:47:20,1,"Unsere Bestellung hat lange gedauert und wurde sogar nach mehrmaliger Wiederholung von der Servicekraft trozdem  falsch zubereitet. Wir waren einer der ersten in der Schlange und haben bestellt und waren einer der letzteren die ihr Essen bekommen haben. Unsere Bestellung beinhaltete 2 Burger und 1 Snack. Die Angestellten sahen zwar bemüht aus (teilweise) jedoch war alles ein riesen Chaos hinter der Theke. Die Pommes von unseren Freunden waren extrem trocken und haben geschmeckt als wären die schon seit 20 min da rumgelegen. Das Restaurant sieht etwas trostlos aus. Allgemein die Stimmung als man in diesen Laden reingeht war direkt uneinladend. Die Burger schmecken normal wie bei jedem Burgerking auch, jedoch sahen diese aus wie als hätten man die lieblos dahin geklatscht. All in all würde ich dieses Restaurant nicht empfehlen.",-0.9911,Negative,Negativ,,"Die Pommes von unseren Freunden waren extrem trocken und haben geschmeckt als wären die schon seit 20 min da rumgelegen, was auf zu dunkle oder übermäßig getrocknete Zutaten hinweist.",Die Angestellten sahen zwar bemüht aus (teilweise),,,"Lange Bestellzeit und falsche Zubereitung trotz wiederholter Anfragen ('lange Bestellung hat lange gedauert und wurde sogar nach mehrmaliger Wiederholung von der Servicekraft trozdem fehlerhaft zubereitet'), Chaos hinter Theke, übermäßig trockene Pommes ('Pommes waren extrem trocken') und uneinladende Atmosphäre ('direkt uneinladend', 'trostlos aussehen'): "
11,2024-08-17 18:12:18,1,"Absoluter Saftladen, geht hier auf keinen Fall essen",0.0,Neutral,Negativ,,,,"Nicht spezifisch negativer Service oder Kommunikation erwähnt, implizite negative Meinung zum Standort und möglicherweise zur Qualität des Essens aufgrund der Aussage.",keine spezifischen positiven Management- oder Preisspezifikationen erwähnt,
12,2024-08-17 17:49:28,1,Kurz & knapp. Keine Self order Terminal. Kein Kundenbindungsprogramm mit Kronen. Nicht zu empfehlen.,0.0,Neutral,Negativ,,,,,,"Kein Kundenbindungsprogramm mit Kronen, kurz und prägnant beschrieben"
13,2024-08-16 19:53:37,1,"Wir haben über Lieferando bestellt und das Essen war so katastrophal, dass wir in Gelächter ausgebrochen sind. Liebe Burger King Leute... das könnt ihr doch nicht verkaufen,  also wirklich, das ist echt der absolute Brüller!",-0.636,Negative,Negativ,,,,,,Das Essen war katastrophal und führte zu Gelächter aufgrund schlechter Qualität.
14,2024-08-14 19:50:04,3,"Naja, man wird nicht wahr genommen, die Bestellung Katastrophe! Es ist von mir abzuraten!",-0.6688,Negative,Negativ,,Katastrophen bei der Bestellung mit Aussicht auf ein schlechtes Essenserlebnis,,"Es ist eine negative Erfahrung mit einer 'Bestellkatastrophe', was auf Ungenauigkeiten bei der Bestellabwicklung hinweist.",,"man wird nicht wahr genommen, die Bestellung Katastrophe!"
15,2024-08-12 16:43:00,4,"Sehr warm, keine Klimaanlage. Außenbereich war besetzt. Nichts für heiße Tage.",-0.4588,Negative,Negativ,,,,,Warmes Ambiente,
16,2024-08-08 10:16:00,2,Hatte danach Bauchweh,0.0,Neutral,Negativ,,,,,,
17,2024-08-06 22:39:00,5,Efe is der beste BK Mitarbeiter weltweit wenn ihr da seid fragt nach ihm. ps: macht ihn Filialleiter dann läuft der Laden,0.0,Neutral,Positiv,,,"Der BK-Mitarbeiter wird als 'der beste' beschrieben, was auf ein hohes Maß an Servicequalität hinweist.",,"Efe ist ein hoch geschätzter Manager, von dem man weiß, dass er einer der besten Bäckereikapitäne weltweit sein kann.",
