idx,date,stars,review_text,vader_score,sentiment_bucket,sentiment_label,kitchen_pros,kitchen_cons,service_pros,service_cons,mgmt_pros,mgmt_cons
2,2024-08-27 22:20:23,5,Unser Stamm-BurgerKing ;-),0.25,Positive,Positiv,;-),,Freundlichkeit angezeigt durch Smiley,,"Positives Lob ('Unser Stamm'-Ausdruck) zeigt eine loyale Kundschaft, was auf effektive Managementstrategien hinweist.",Kein negatives Zitat oder Hinweis extrahiert; 'Kurzer' und ';-)' implizieren jedoch wahrscheinlich ein angenehmes Ambiente.
8,2024-08-18 18:07:01,4,Lugar limpio y tranquilo. La chica que nos ha atendido (Natalia) ha sido muy paciente con nosotros pese a la diferencia de idioma.,0.5859,Positive,Positiv,La chica que nos ha atendido (Natalia) ha sido muy paciente con nosotros pese a la diferencia de idioma.,,La chica que nos ha atendido (Natalia) ha sido muy paciente con nosotros pese a la diferencia de idioma.,,"Lugar limpio y tranquilo, Natalia es muy paciente.",
9,2024-08-18 16:10:56,5,Sehr freundliche Mitarbeiter und Bedienung in einem sehr netten Ton!,0.0,Neutral,Positiv,,,Sehr freundliche Mitarbeiter,,Freundliches Personal mit positivem Auftreten,
10,2024-08-17 18:47:20,1,"Unsere Bestellung hat lange gedauert und wurde sogar nach mehrmaliger Wiederholung von der Servicekraft trozdem falsch zubereitet. Wir waren einer der ersten in der Schlange und haben bestellt und waren einer der letzteren die ihr Essen bekommen haben. Unsere Bestellung beinhaltete 2 Burger und 1 Snack. Die Angestellten sahen zwar bemüht aus (teilweise) jedoch war alles ein riesen Chaos hinter der Theke. Die Pommes von unseren Freunden waren extrem trocken und haben geschmeckt als wären die schon seit 20 min da rumgelegen. Das Restaurant sieht etwas trostlos aus. Allgemein die Stimmung als man in diesen Laden reingeht war direkt uneinladend. Die Burger schmecken normal wie bei jedem Burgerking auch, jedoch sahen diese aus wie als hätten man die lieblos dahin geklatscht. All in all würde ich dieses Restaurant nicht empfehlen.",-0.9911,Negative,Negativ,,Die Pommes waren extrem trocken und haben geschmeckt als wären sie schon seit 20 min da rumgelegen; Unangenehme Erfahrung beim Service mit langen Wartezeiten und wiederholter falscher Zubereitung.,Die Angestellten wirkten bemüht,,,
11,2024-08-17 18:12:18,1,"Absoluter Saftladen, geht hier auf keinen Fall essen",0.0,Neutral,Negativ,,,,"Nicht gehen willst du zum Saftladen (positive Neigung, dass die Servicequalität nicht stimmt)",Kein erwähnenswertes positive Zitat gefunden,
12,2024-08-17 17:49:28,1,Kurz & knapp. Keine Self order Terminal. Kein Kundenbindungsprogramm mit Kronen. Nicht zu empfehlen.,0.0,Neutral,Negativ,,,,,,Kein Kundenbindungsprogramm mit Kronen
13,2024-08-16 19:53:37,1,"Wir haben über Lieferando bestellt und das Essen war so katastrophal, dass wir in Gelächter ausgebrochen sind. Liebe Burger King Leute... das könnt ihr doch nicht verkaufen, also wirklich, das ist echt der absolute Brüller!",-0.636,Negative,Negativ,,,,,,Das Essen war katastrophal und führte zu Gelächter aufgrund mangelhafter Qualität.
14,2024-08-14 19:50:04,3,"Naja, man wird nicht wahr genommen, die Bestellung Katastrophe! Es ist von mir abzuraten!",-0.6688,Negative,Negativ,,Katastrophen bei der Bestellung und möglicherweise schlechter Geschmack oder Frische (aus dem Zitat: ,,"Kurzes negatives Zitat: 'Es ist von mir abzuraten wegen der Bestellkatastrophe,' was auf eine Ungenauigkeit in den Lieferungen oder ein schlechtes Serviceerlebnis hinweist.",,"man wird nicht wahr genommen, die Bestellung Katastrophe"
15,2024-08-12 16:43:00,4,"Sehr warm, keine Klimaanlage. Außenbereich war besetzt. Nichts für heiße Tage.",-0.4588,Negative,Negativ,,,,,Warmes Ambiente,
16,2024-08-08 10:16:00,2,Hatte danach Bauchweh,0.0,Neutral,Negativ,,,,Hatte danach Bauchweh,,
