idx,date,stars,review_text,vader_score,sentiment_bucket,sentiment_label,kitchen_pros,kitchen_cons,service_pros,service_cons,mgmt_pros,mgmt_cons
2,2024-08-27 22:20:23,5,Unser Stamm-BurgerKing ;-),0.25,Positive,Positiv,Unser Stamm-Burger mit einem Stern von 5 anzeigt wahrscheinlich Zufriedenheit beim Geschmack und möglicherweise bei der Beläge/Toppings oder Temperatur.,,Freundlichkeit;-),,"Positives Lob von einem Kunden (';-)'), was auf ein angenehmes Ambiente oder Zufriedenheit mit dem Service hinweisen könnte.",Nicht genannt
8,2024-08-18 18:07:01,4,Lugar limpio y tranquilo. La chica que nos ha atendido (Natalia) ha sido muy paciente con nosotros pese a la diferencia de idioma.,0.5859,Positive,Positiv,La chica que nos ha atendido (Natalia) ha sido muy paciente con nosotros pese a la diferencia de idioma.,,La chica que nos ha atendido (Natalia) ha sido muy paciente con nosotros pese a la diferencia de idioma.,,La chica que nos ha atendido (Natalia) ha sido muy paciente con nosotros pese a la diferencia de idioma.,
9,2024-08-18 16:10:56,5,Sehr freundliche Mitarbeiter und Bedienung in einem sehr netten Ton!,0.0,Neutral,Positiv,,,sehr freundliche Mitarbeiter,,Freundlichere Mitarbeitermitesser im gemütlichen Ambiente,
10,2024-08-17 18:47:20,1,"Unsere Bestellung hat lange gedauert und wurde sogar nach mehrmaliger Wiederholung von der Servicekraft trozdem falsch zubereitet. Wir waren einer der ersten in der Schlange und haben bestellt und waren einer der letzteren die ihr Essen bekommen haben. Unsere Bestellung beinhaltete 2 Burger und 1 Snack. Die Angestellten sahen zwar bemüht aus (teilweise) jedoch war alles ein riesen Chaos hinter der Theke. Die Pommes von unseren Freunden waren extrem trocken und haben geschmeckt als wären die schon seit 20 min da rumgelegen. Das Restaurant sieht etwas trostlos aus. Allgemein die Stimmung als man in diesen Laden reingeht war direkt uneinladend. Die Burger schmecken normal wie bei jedem Burgerking auch, jedoch sahen diese aus wie als hätten man die lieblos dahin geklatscht. All in all würde ich dieses Restaurant nicht empfehlen.",-0.9911,Negative,Negativ,,,Die Angestellten sahen zwar bemüht aus (teilweise),,,
11,2024-08-17 18:12:18,1,"Absoluter Saftladen, geht hier auf keinen Fall essen",0.0,Neutral,Negativ,,,,Nicht zum Essen geeignet (impliziert durch 'geht hier nicht auf keinen Fall essen'),keine erwähnte Management- oder Preisspezifikation,
12,2024-08-17 17:49:28,1,Kurz & knapp. Keine Self order Terminal. Kein Kundenbindungsprogramm mit Kronen. Nicht zu empfehlen.,0.0,Neutral,Negativ,,,,,,"Keine Self order Terminal und kein Kundenbindungsprogramm mit Kronen, nicht zu empfohlen"
13,2024-08-16 19:53:37,1,"Wir haben über Lieferando bestellt und das Essen war so katastrophal, dass wir in Gelächter ausgebrochen sind. Liebe Burger King Leute... das könnt ihr doch nicht verkaufen, also wirklich, das ist echt der absolute Brüller!",-0.636,Negative,Negativ,,,,,,Das Essen war katastrophal und führte zu Gelächter aufgrund seiner Qualität.
14,2024-08-14 19:50:04,3,"Naja, man wird nicht wahr genommen, die Bestellung Katastrophe! Es ist von mir abzuraten!",-0.6688,Negative,Negativ,,Es ist von mir abzuraten aufgrund eines 'Bestellungs-Katastrophen'.,,"Es ist eine Essensbestellungs-Katastrophe erlebt und es wird vorgeschlagen, die Bestellung nicht aufzugeben.",,"man wird nicht wahr genommen, die Bestellung Katastrophe"
15,2024-08-12 16:43:00,4,"Sehr warm, keine Klimaanlage. Außenbereich war besetzt. Nichts für heiße Tage.",-0.4588,Negative,Negativ,,,,,Warmes Ambiente,
16,2024-08-08 10:16:00,2,Hatte danach Bauchweh,0.0,Neutral,Negativ,,,,,,
17,2024-08-06 22:39:00,5,Efe is der beste BK Mitarbeiter weltweit wenn ihr da seid fragt nach ihm. ps: macht ihn Filialleiter dann läuft der Laden,0.0,Neutral,Positiv,,,"Efe ist ein hochgeschätzter Mitarbeiter, bekannt für seine Präsenz und Fähigkeit, Kunden zu verwalten.",,Efe ist ein anerkannter guter BK-Mitarbeiter,
18,2024-08-05 10:23:00,3,Keine Automaten und Laden nimmt nicht am Treueprogramm teil.,0.0,Neutral,Negativ,,,,Lack an Mangel an Loyalitätsprogrammen,N/a,Mangel an Automaten und Teilnahme des Ladens am Treueprogramm
19,2024-08-02 14:42:00,1,Toiletten Hygiene nicht okay,0.2263,Positive,Negativ,,,,,,Hygienebeschwerden in den Toiletten
21,2024-08-01 10:18:00,1,Horrible just horrible asked 2 TIMES for a cheese burger with no pickles and guess what they put extra pickles fricking hate this place.,-0.9216,Negative,Negativ,,,,,,Geschädigte Erfahrung mit zusätzlichen Pickeln aufgrund von Missverständnissen im Anfrageprozess
22,2024-07-29 12:59:56,3,Obsluha hrúza 30minut čekání na jídlo a potom ani nedojde celé.,0.0,Neutral,Negativ,,,,Prosékávání jídelním obchodu s nekonečnou delším čekáním na výrobu (30 minut),,"Kurze Wartezeit von 30 Minuten auf Essen, was an Effizienz zweifelhaft macht"
23,2024-07-22 17:55:13,5,"Sehr höfliches Personal, sehr sauber, und sehr schnell zubereitet.",0.0,Neutral,Positiv,sehr schnell zubereitet,,sehr hilfsbereites Personal und hohe Sauberkeit,,sehr sauber,
24,2024-07-19 00:08:30,2,"Food is great, but service not so much. Wanted to order only an whopper burger. But that was for some reason not possible. No explanation whatsoever given, only whopper menu is possible in this place. Weird.",0.4276,Positive,Negativ,,Weird und nicht möglichst Whopper burger ohne Erklärung,,"Kurzes negatives Zitat: 'Service nicht so much, keine Erklärung gegeben für das Nicht-Zulassen eines einzelnen Whopper Burgers und die allgemein als 'Weird' beschriebene Atmosphäre.",,"Kurzes negatives Zitat: 'Service not so much', 'No explanation whatsoever given, only whopper menu is possible in this place. Weird.'"
