idx,date,stars,review_text,vader_score,sentiment_bucket,sentiment_label,llm_label,llm_confidence,llm_score,fused_label,fused_score,fused_w_vader,fused_w_llm,kitchen_pros,kitchen_cons,service_pros,service_cons,mgmt_pros,mgmt_cons
2,2024-08-27 22:20:23,5,Unser Stamm-BurgerKing ;-),0.25,Positive,Positive,positive,0.98,0.98,Positive,0.5785,0.55,0.45,"Du hast nicht genügend Informationen, um ein kurzes positives Zitat zu extrahieren.",n/a,"Gefällt den Besitzern aufgrund des Ausdrucks ';-)'', was Freundlichkeit implizieren könnte, aber keine expliziten Details liefert.",N/A,"Positives Feedback zum Ambiente ('Unser Stamm-', Ausdrücke von Zufriedenheit wie ';-)')",Nicht angegeben
8,2024-08-18 18:07:01,4,Lugar limpio y tranquilo. La chica que nos ha atendido (Natalia) ha sido muy paciente con nosotros pese a la diferencia de idioma.,0.5859,Positive,Positive,positive,0.98,0.98,Positive,0.763245,0.55,0.45,La chica que nos ha atendido (Natalia) ha sido muy paciente con nosotros pese a la diferencia de idioma.,n/a,La chica que nos ha atendido (Natalia) ha sido muy paciente con nosotros pese a la diferencia de idioma.,n/a,La chica que nos ha atendido (Natalia) ha sido muy paciente con nosotros pese a la diferencia de idioma.,n/a
9,2024-08-18 16:10:56,5,Sehr freundliche Mitarbeiter und Bedienung in einem sehr netten Ton!,0.0,Neutral,Positive,positive,0.98,0.98,Positive,0.735,0.25,0.75,n/a,n/a,Von sehr freundlichen Mitarbeitern mit einer nett gesteckten Atmosphäre,n/a,Freundliche Mitarbeiter mit positivem Auftreten,n/a
10,2024-08-17 18:47:20,1,"Unsere Bestellung hat lange gedauert und wurde sogar nach mehrmaliger Wiederholung von der Servicekraft trozdem falsch zubereitet. Wir waren einer der ersten in der Schlange und haben bestellt und waren einer der letzteren die ihr Essen bekommen haben. Unsere Bestellung beinhaltete 2 Burger und 1 Snack. Die Angestellten sahen zwar bemüht aus (teilweise) jedoch war alles ein riesen Chaos hinter der Theke. Die Pommes von unseren Freunden waren extrem trocken und haben geschmeckt als wären die schon seit 20 min da rumgelegen. Das Restaurant sieht etwas trostlos aus. Allgemein die Stimmung als man in diesen Laden reingeht war direkt uneinladend. Die Burger schmecken normal wie bei jedem Burgerking auch, jedoch sahen diese aus wie als hätten man die lieblos dahin geklatscht. All in all würde ich dieses Restaurant nicht empfehlen.",-0.9911,Negative,Negative,negative,1.0,-1.0,Negative,-0.9951050000000001,0.55,0.45,n/a,n/a,Die Angestellten sieht zwar bemüht aus (teilweise),n/a,n/a,n/a
11,2024-08-17 18:12:18,1,"Absoluter Saftladen, geht hier auf keinen Fall essen",0.0,Neutral,Negative,negative,1.0,-1.0,Negative,-0.75,0.25,0.75,n/a,n/a,n/a,n/a,einbeziehen,"negatives Feedback bezüglich Möglichkeiten zur Nahrungsaufnahme, was auf ein fehlendes Management im Zusammenhang mit Kunden-Essenserlebnis hinweisen könnte."
12,2024-08-17 17:49:28,1,Kurz & knapp. Keine Self order Terminal. Kein Kundenbindungsprogramm mit Kronen. Nicht zu empfehlen.,0.0,Neutral,Negative,negative,0.95,-0.95,Negative,-0.7124999999999999,0.25,0.75,n/a,n/a,n/a,n/a,n/a,Kein Kundenbindungsprogramm mit Kronen
13,2024-08-16 19:53:37,1,"Wir haben über Lieferando bestellt und das Essen war so katastrophal, dass wir in Gelächter ausgebrochen sind. Liebe Burger King Leute... das könnt ihr doch nicht verkaufen, also wirklich, das ist echt der absolute Brüller!",-0.636,Negative,Negative,negative,1.0,-1.0,Negative,-0.7998000000000001,0.55,0.45,n/a,n/a,n/a,n/a,n/a,n/a
14,2024-08-14 19:50:04,3,"Naja, man wird nicht wahr genommen, die Bestellung Katastrophe! Es ist von mir abzuraten!",-0.6688,Negative,Negative,negative,0.98,-0.98,Negative,-0.80884,0.55,0.45,n/a,Katastrophen bei der Bestellung und möglicherweise schlechter Geschmack oder Präsentation,n/a,Katastrophale Bestellgenauigkeit mit Erfahrungen der Unbehaglichkeit und des Ratschlags gegen das Essensbestellen,n/a,"man wird nicht wahr genommen, die Bestellung Katastrophe"
15,2024-08-12 16:43:00,4,"Sehr warm, keine Klimaanlage. Außenbereich war besetzt. Nichts für heiße Tage.",-0.4588,Negative,Negative,negative,0.9,-0.9,Negative,-0.65734,0.55,0.45,n/a,n/a,n/a,n/a,warmes Ambiente,n/a
16,2024-08-08 10:16:00,2,Hatte danach Bauchweh,0.0,Neutral,Negative,negative,0.98,-0.98,Negative,-0.735,0.25,0.75,n/a,n/a,n/a,n/a,n/a,n/a
17,2024-08-06 22:39:00,5,Efe is der beste BK Mitarbeiter weltweit wenn ihr da seid fragt nach ihm. ps: macht ihn Filialleiter dann läuft der Laden,0.0,Neutral,Positive,positive,0.95,0.95,Positive,0.7124999999999999,0.25,0.75,n/a,n/a,"Bester BK-Mitarbeiter, falls man anfragt",n/a,Efe ist ein empfohlenes Ansteuerungsobjekt für die Mitarbeiterführung.,n/a
